Date	VTI
2018-02-13	136.449997
2018-02-14	138.360001
2018-02-15	140.050003
2018-02-16	140.110001
2018-02-20	139.270004
2018-02-21	138.619995
2018-02-22	138.71000700000002
2018-02-23	140.860001
2018-02-26	142.33999599999999
2018-02-27	140.550003
2018-02-28	139.0
2018-03-01	137.350006
2018-03-02	138.240005
2018-03-05	139.800003
2018-03-06	140.309998
2018-03-07	140.429993
2018-03-08	140.96000700000002
2018-03-09	143.300003
2018-03-12	143.220001
2018-03-13	142.330002
2018-03-14	141.610001
2018-03-15	141.419998
2018-03-16	141.66000400000001
2018-03-19	139.83999599999999
2018-03-20	140.050003
2018-03-21	139.929993
2018-03-22	135.949997
2018-03-23	133.100006
2018-03-26	136.610001
2018-03-27	134.190002
2018-03-28	133.880005
2018-03-29	135.720001
2018-04-02	132.630005
2018-04-03	134.279999
2018-04-04	135.78999299999998
2018-04-05	136.740005
2018-04-06	133.869995
2018-04-09	134.320007
2018-04-10	136.5
2018-04-11	135.869995
2018-04-12	136.970001
2018-04-13	136.580002
2018-04-16	137.720001
2018-04-17	139.169998
2018-04-18	139.360001
2018-04-19	138.600006
2018-04-20	137.5
2018-04-23	137.449997
2018-04-24	135.800003
2018-04-25	135.949997
2018-04-26	137.240005
2018-04-27	137.330002
2018-04-30	136.330002
2018-05-01	136.53999299999998
2018-05-02	135.75
2018-05-03	135.380005
2018-05-04	137.130005
2018-05-07	137.729996
2018-05-08	137.779999
2018-05-09	139.080002
2018-05-10	140.28999299999998
2018-05-11	140.570007
2018-05-14	140.639999
2018-05-15	139.78999299999998
2018-05-16	140.470001
2018-05-17	140.509995
2018-05-18	140.199997
2018-05-21	141.25
2018-05-22	140.729996
2018-05-23	141.100006
2018-05-24	140.869995
2018-05-25	140.600006
2018-05-29	139.21000700000002
2018-05-30	141.009995
2018-05-31	140.03999299999998
2018-06-01	141.5
2018-06-04	142.16000400000001
2018-06-05	142.369995
2018-06-06	143.630005
2018-06-07	143.419998
2018-06-08	143.91000400000001
2018-06-11	144.119995
2018-06-12	144.419998
2018-06-13	143.880005
2018-06-14	144.28999299999998
2018-06-15	144.149994
2018-06-18	143.990005
2018-06-19	143.509995
2018-06-20	143.83999599999999
2018-06-21	142.850006
2018-06-22	142.449997
2018-06-25	140.449997
2018-06-26	140.770004
2018-06-27	139.46000700000002
2018-06-28	140.330002
2018-06-29	140.429993
2018-07-02	140.770004
2018-07-03	140.41000400000001
2018-07-05	141.600006
2018-07-06	142.78999299999998
2018-07-09	144.08999599999999
2018-07-10	144.46000700000002
2018-07-11	143.429993
2018-07-12	144.610001
2018-07-13	144.699997
2018-07-16	144.470001
2018-07-17	145.130005
2018-07-18	145.449997
2018-07-19	145.100006
2018-07-20	144.83999599999999
2018-07-23	145.070007
2018-07-24	145.389999
2018-07-25	146.630005
2018-07-26	146.389999
2018-07-27	145.220001
2018-07-30	144.270004
2018-07-31	145.08999599999999
2018-08-01	144.919998
2018-08-02	145.779999
2018-08-03	146.270004
2018-08-06	146.929993
2018-08-07	147.41000400000001
2018-08-08	147.270004
2018-08-09	147.169998
2018-08-10	146.25
2018-08-13	145.690002
2018-08-14	146.649994
2018-08-15	145.490005
2018-08-16	146.630005
2018-08-17	147.169998
2018-08-20	147.449997
2018-08-21	148.0
2018-08-22	148.050003
2018-08-23	147.759995
2018-08-24	148.679993
2018-08-27	149.75
2018-08-28	149.83999599999999
2018-08-29	150.630005
2018-08-30	150.009995
2018-08-31	150.070007
2018-09-04	149.860001
2018-09-05	149.369995
2018-09-06	148.919998
2018-09-07	148.580002
2018-09-10	148.899994
2018-09-11	149.399994
2018-09-12	149.41000400000001
2018-09-13	150.16000400000001
2018-09-14	150.279999
2018-09-17	149.330002
2018-09-18	150.130005
2018-09-19	150.149994
2018-09-20	151.309998
2018-09-21	151.16000400000001
